HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers	Ensembl gene ID	Ensembl ID(supplied by Ensembl)
HGNC:33842	AARD	Approved	C8orf85	LOC441376	8q24.11	AB181519, BC140924	ENSG00000205002	ENSG00000205002
HGNC:20	AARS1	Approved	AARS	CMT2N, AlaRS	16q22.1	D32050	ENSG00000090861	ENSG00000090861
HGNC:49894	AARS1P1	Approved	AARSP1		4q28.3		ENSG00000249038	ENSG00000249038
HGNC:21022	AARS2	Approved	AARSL	KIAA1270, bA444E17.1	6p21.1	AB033096	ENSG00000124608	ENSG00000124608
HGNC:28417	AARSD1	Approved		MGC2744, AlaXp	17q21.31	BC004172	ENSG00000266967	ENSG00000266967
HGNC:54994	AARSD1P1	Approved			Xq13.2		ENSG00000234969	ENSG00000234969
HGNC:23993	AASDH	Approved		NRPS998, LYS2, ACSF4	4q12	AF516672	ENSG00000157426	ENSG00000157426
HGNC:14235	AASDHPPT	Approved		LYS5, CGI-80, AASD-PPT, ACPS	11q22.3	AF302110	ENSG00000149313	ENSG00000149313
HGNC:17366	AASS	Approved		LORSDH, LKRSDH, LKR/SDH	7q31.32	AF229180	ENSG00000008311	ENSG00000008311
HGNC:51526	AATBC	Approved			21q22.3		ENSG00000215458	ENSG00000215458
HGNC:19235	AATF	Approved		DED, CHE-1, CHE1, BFR2	17q12	AF083208	ENSG00000275700	ENSG00000275700
HGNC:21	AATK	Approved		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	AB014541	ENSG00000181409	ENSG00000181409
HGNC:22	AAVS1	Approved		AAV	19q13	S51329		
HGNC:49667	ABALON	Approved		INXS	20q11.21	KC505631	ENSG00000281376	ENSG00000281376
HGNC:23	ABAT	Approved		GABAT, GABA-T	16p13.2	L32961	ENSG00000183044	ENSG00000183044
HGNC:24	ABC1	Symbol Withdrawn						
HGNC:25	ABC2	Symbol Withdrawn						
HGNC:26	ABC3	Symbol Withdrawn						
HGNC:28	ABC7	Symbol Withdrawn						
HGNC:27	ABC50	Symbol Withdrawn						
HGNC:29	ABCA1	Approved	ABC1, HDLDT1	TGD	9q31.1	AJ012376	ENSG00000165029	ENSG00000165029
HGNC:32	ABCA2	Approved	ABC2		9q34.3	U18235	ENSG00000107331	ENSG00000107331
HGNC:33	ABCA3	Approved	ABC3	ABC-C, EST111653, LBM180	16p13.3	U78735	ENSG00000167972	ENSG00000167972
HGNC:55707	ABCA3P1	Approved			16p12.2		ENSG00000257408	ENSG00000257408
HGNC:34	ABCA4	Approved	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22.1	U88667	ENSG00000198691	ENSG00000198691
HGNC:35	ABCA5	Approved		EST90625	17q24.3	U66672	ENSG00000154265	ENSG00000154265
HGNC:36	ABCA6	Approved		EST155051	17q24.2-q24.3	U66680	ENSG00000154262	ENSG00000154262
HGNC:37	ABCA7	Approved		ABCX	19p13.3	AF328787	ENSG00000064687	ENSG00000064687
HGNC:38	ABCA8	Approved		KIAA0822	17q24.2	AB020629	ENSG00000141338	ENSG00000141338
HGNC:39	ABCA9	Approved		EST640918	17q24.2	AF423307	ENSG00000154258	ENSG00000154258
HGNC:39983	ABCA9-AS1	Approved			17q24.2		ENSG00000231749	ENSG00000231749
HGNC:30	ABCA10	Approved		EST698739	17q24.3	AY247065	ENSG00000154263	ENSG00000154263
HGNC:31	ABCA11P	Approved	ABCA11	EST1133530, FLJ14297	4p16.3	AK024359	ENSG00000251595	ENSG00000251595
HGNC:14637	ABCA12	Approved	ICR2B	DKFZP434G232, LI2	2q35	AF418105	ENSG00000144452	ENSG00000144452
HGNC:14638	ABCA13	Approved		FLJ33876, FLJ33951	7p12.3	AY204751	ENSG00000179869	ENSG00000179869
HGNC:34405	ABCA15P	Approved	NCRNA00169, CRYM-AS1	FLJ41766	16p12.2		ENSG00000189149	ENSG00000189149
HGNC:32972	ABCA17P	Approved			16p13.3	DQ266102	ENSG00000238098	
HGNC:40	ABCB1	Approved	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20, p-170, PGY1	7q21.12	M14758	ENSG00000085563	ENSG00000085563
HGNC:11563	ABCB2	Symbol Withdrawn						
HGNC:11564	ABCB3	Symbol Withdrawn						
HGNC:45	ABCB4	Approved	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21.12	M23234	ENSG00000005471	ENSG00000005471
HGNC:46	ABCB5	Approved		EST422562, ABCB5beta, ABCB5alpha	7p21.1	U66692	ENSG00000004846	ENSG00000004846
HGNC:47	ABCB6	Approved		EST45597, umat, MTABC3	2q35	AF070598	ENSG00000115657	ENSG00000115657
HGNC:48	ABCB7	Approved	ABC7	EST140535, Atm1p, ASAT	Xq13.3	AF038950	ENSG00000131269	ENSG00000131269
HGNC:49	ABCB8	Approved		EST328128, M-ABC1, MABC1, MITOSUR	7q36.1	AF047690	ENSG00000197150	ENSG00000197150
HGNC:50	ABCB9	Approved		EST122234	12q24.31	U66676	ENSG00000150967	ENSG00000150967
HGNC:41	ABCB10	Approved		EST20237, M-ABC2, MTABC2	1q42.13	U18237	ENSG00000135776	ENSG00000135776
HGNC:14114	ABCB10P1	Approved	ABCB10P, ABCB10P2	M-ABC2, MABC2	15q11.2	AF218417	ENSG00000274099	ENSG00000274099
HGNC:31128	ABCB10P2	Symbol Withdrawn			15q11.2			
HGNC:31129	ABCB10P3	Approved			15q13.1		ENSG00000261524	ENSG00000261524
HGNC:31130	ABCB10P4	Approved			15q13.1		ENSG00000260053	ENSG00000260053
HGNC:42	ABCB11	Approved	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	2q31.1	AF091582	ENSG00000073734	ENSG00000073734
HGNC:51	ABCC1	Approved	MRP, MRP1	GS-X	16p13.11	L05628	ENSG00000103222	ENSG00000103222
HGNC:53	ABCC2	Approved	CMOAT	DJS, MRP2, cMRP	10q24.2	U63970	ENSG00000023839	ENSG00000023839
HGNC:54	ABCC3	Approved		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21.33	Y17151	ENSG00000108846	ENSG00000108846
HGNC:55	ABCC4	Approved		MRP4, EST170205, MOAT-B, MOATB	13q32.1	U66682	ENSG00000125257	ENSG00000125257
HGNC:56	ABCC5	Approved		MRP5, SMRP, EST277145, MOAT-C	3q27.1	AF104942	ENSG00000114770	ENSG00000114770
HGNC:40055	ABCC5-AS1	Approved			3q27.1		ENSG00000223882	ENSG00000223882
HGNC:57	ABCC6	Approved	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	AF076622	ENSG00000091262	ENSG00000091262
HGNC:33352	ABCC6P1	Approved			16p12.3	BC075833	ENSG00000256340	
HGNC:33353	ABCC6P2	Approved			16p13.11		ENSG00000255277	
HGNC:58	ABCC7	Symbol Withdrawn						
HGNC:59	ABCC8	Approved	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	L78207	ENSG00000006071	ENSG00000006071
HGNC:60	ABCC9	Approved		SUR2, CMD1O	12p12.1	AF061323	ENSG00000069431	ENSG00000069431
HGNC:52	ABCC10	Approved		EST182763, MRP7, SIMRP7	6p21.1	U66684	ENSG00000124574	ENSG00000124574
HGNC:14639	ABCC11	Approved		MRP8	16q12.1	AF367202	ENSG00000121270	ENSG00000121270
HGNC:14640	ABCC12	Approved		MRP9	16q12.1	AY040220	ENSG00000140798	ENSG00000140798
HGNC:16022	ABCC13	Approved		PRED6, C21orf73, ABCC13P	21q11.2	AF418600	ENSG00000243064	ENSG00000243064
HGNC:61	ABCD1	Approved	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	Z21876	ENSG00000101986	ENSG00000101986
HGNC:62	ABCD1P1	Approved			2p11.2	U90290		
HGNC:63	ABCD1P2	Approved		bA453N3.6	10p11.1	U90288	ENSG00000215151	ENSG00000215151
HGNC:64	ABCD1P3	Approved			16p11.2	U90289	ENSG00000261233	ENSG00000261233
HGNC:65	ABCD1P4	Approved			22q11.1	U90291	ENSG00000225293	ENSG00000225293
HGNC:42662	ABCD1P5	Approved			2p11.1		ENSG00000214330	ENSG00000214330
HGNC:66	ABCD2	Approved	ALDL1	ALDR, ALDRP	12q12	U28150	ENSG00000173208	ENSG00000173208
HGNC:67	ABCD3	Approved	PXMP1	PMP70, ZWS2	1p21.3	M81182	ENSG00000117528	ENSG00000117528
HGNC:68	ABCD4	Approved	PXMP1L	PMP69, P70R, EST352188	14q24.3	AF009746	ENSG00000119688	ENSG00000119688
HGNC:69	ABCE1	Approved	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	4q31.21	X74987	ENSG00000164163	ENSG00000164163
HGNC:70	ABCF1	Approved	ABC50	EST123147	6p21.33	AF027302	ENSG00000204574	ENSG00000204574
HGNC:53628	ABCF1-DT	Approved			6p21.33			
HGNC:71	ABCF2	Approved		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	AJ005016	ENSG00000033050	ENSG00000033050
HGNC:54751	ABCF2-H2BK1	Approved	ABCF2-H2BE1		7q36.1		ENSG00000285292	ENSG00000285292
HGNC:48841	ABCF2P1	Approved			3p11.1		ENSG00000242159	ENSG00000242159
HGNC:48842	ABCF2P2	Approved			7q11.22		ENSG00000228769	ENSG00000228769
HGNC:72	ABCF3	Approved		EST201864	3q27.1	U66685	ENSG00000161204	ENSG00000161204
HGNC:73	ABCG1	Approved		ABC8	21q22.3	U34919	ENSG00000160179	ENSG00000160179
HGNC:74	ABCG2	Approved		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	AF103796	ENSG00000118777	ENSG00000118777
HGNC:13884	ABCG4	Approved		WHITE2	11q23.3	AJ300465	ENSG00000172350	ENSG00000172350
HGNC:13886	ABCG5	Approved		STSL	2p21	T93792	ENSG00000138075	ENSG00000138075
HGNC:13887	ABCG8	Approved		GBD4	2p21	AF320294	ENSG00000143921	ENSG00000143921
HGNC:75	ABCR	Symbol Withdrawn						
HGNC:17553	ABHD1	Approved		LABH1, FLJ36128	2p23.3	AK093447	ENSG00000143994	ENSG00000143994
HGNC:18717	ABHD2	Approved		LABH2	15q26.1	X12433	ENSG00000140526	ENSG00000140526
HGNC:18718	ABHD3	Approved		LABH3	18q11.2	AK024880	ENSG00000158201	ENSG00000158201
HGNC:20154	ABHD4	Approved		FLJ12816	14q11.2	AK022878	ENSG00000100439	ENSG00000100439
HGNC:21396	ABHD5	Approved		CGI-58, NCIE2	3p21.33	AF007132	ENSG00000011198	ENSG00000011198
HGNC:21398	ABHD6	Approved			3p14.3	AF225418	ENSG00000163686	ENSG00000163686
HGNC:23759	ABHD8	Approved		FLJ11743, MGC14280, MGC2512	19p13.11	AK021805	ENSG00000127220	ENSG00000127220
HGNC:25656	ABHD10	Approved		FLJ11342	3q13.2	AL713726	ENSG00000144827	ENSG00000144827
HGNC:16407	ABHD11	Approved	WBSCR21	PP1226	7q11.23	AF217971	ENSG00000106077	ENSG00000106077
HGNC:40012	ABHD11-AS2	Entry Withdrawn			7q11.23			
HGNC:15868	ABHD12	Approved	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	AL117442	ENSG00000100997	ENSG00000100997
HGNC:19837	ABHD12B	Approved	C14orf29	BEM46L3	14q22.1	BG698443	ENSG00000131969	ENSG00000131969
HGNC:20293	ABHD13	Approved	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.3	AK027812	ENSG00000139826	ENSG00000139826
HGNC:24538	ABHD14A	Approved		DKFZP564O243, DORZ1	3p21.2	AY358201	ENSG00000248487	ENSG00000248487
HGNC:38856	ABHD14A-ACY1	Approved			3p21.2		ENSG00000114786	ENSG00000114786
HGNC:28235	ABHD14B	Approved		MGC15429, CIB	3p21.2	AK075112	ENSG00000114779	ENSG00000114779
HGNC:26971	ABHD15	Approved			17q11.2	AK056717	ENSG00000168792	ENSG00000168792
HGNC:49685	ABHD15-AS1	Approved		linc-TP53I13, lnc-TP53I13	17q11.2	CN275323	ENSG00000264031	ENSG00000264031
HGNC:13921	ABHD16A	Approved	BAT5	NG26, D6S82E	6p21.33	AF129756	ENSG00000204427	ENSG00000204427
HGNC:16128	ABHD16B	Approved	C20orf135	dJ591C20.1	20q13.33		ENSG00000183260	ENSG00000183260
HGNC:28756	ABHD17A	Approved	C19orf27, FAM108A1	MGC5244	19p13.3	BC020512	ENSG00000129968	ENSG00000129968
HGNC:28394	ABHD17AP1	Approved	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	1q21.2		ENSG00000198658	ENSG00000198658
HGNC:33538	ABHD17AP2	Symbol Withdrawn	FAM108A3, FAM108A11P, FAM108A3P		1q21.1			
HGNC:34041	ABHD17AP3	Approved	FAM108A4, FAM108A4P		1q41		ENSG00000250536	ENSG00000250536
HGNC:34042	ABHD17AP4	Approved	FAM108A5, FAM108A5P		22q11.21		ENSG00000229107	ENSG00000229107
HGNC:34043	ABHD17AP5	Approved	FAM108A6, FAM108A6P		22q11.22		ENSG00000263366	ENSG00000263366
HGNC:34044	ABHD17AP6	Approved	FAM108A7P		17p11.2		ENSG00000226981	ENSG00000226981
HGNC:38508	ABHD17AP7	Approved	FAM108A8P		16p11.2		ENSG00000260864	ENSG00000260864
HGNC:38509	ABHD17AP8	Approved	FAM108A9P		16p11.2		ENSG00000260540	ENSG00000260540
HGNC:38510	ABHD17AP9	Approved	FAM108A10P		16p11.2		ENSG00000261536	ENSG00000261536
HGNC:24278	ABHD17B	Approved	C9orf77, FAM108B1	CGI-67	9q21.13	AF151825	ENSG00000107362	ENSG00000107362
HGNC:26925	ABHD17C	Approved	FAM108C1		15q25.1		ENSG00000136379	ENSG00000136379
HGNC:26111	ABHD18	Approved	C4orf29	FLJ21106	4q28.2	AK024759	ENSG00000164074	ENSG00000164074
HGNC:11320	ABI1	Approved	SSH3BP1	E3B1, ABI-1	10p12.1	U87166	ENSG00000136754	ENSG00000136754
HGNC:20035	ABI1P1	Approved	SSH3BP1P, ABI1P		14q22.3		ENSG00000271484	ENSG00000271484
HGNC:24011	ABI2	Approved		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33.2	AF260261	ENSG00000138443	ENSG00000138443
HGNC:29859	ABI3	Approved		NESH, SSH3BP3	17q21.32	AB037886	ENSG00000108798	ENSG00000108798
HGNC:17265	ABI3BP	Approved		NESHBP, DKFZP586L2024, TARSH	3q12.2	AB056106	ENSG00000154175	ENSG00000154175
HGNC:1364	ABITRAM	Approved	C9orf6, FAM206A	CG-8, FLJ20457, Simiate	9q31.3	BC015795	ENSG00000119328	ENSG00000119328
HGNC:39851	ABITRAMP1	Approved	FAM206BP		13q14.13		ENSG00000251106	ENSG00000251106
HGNC:76	ABL1	Approved	ABL	JTK7, c-ABL, p150	9q34.12	M14752	ENSG00000097007	ENSG00000097007
HGNC:77	ABL2	Approved	ABLL	ARG	1q25.2	M14904	ENSG00000143322	ENSG00000143322
HGNC:78	ABLIM1	Approved	LIMAB1, ABLIM	abLIM, limatin	10q25.3	AF005654	ENSG00000099204	ENSG00000099204
HGNC:19195	ABLIM2	Approved		KIAA1808	4p16.1	AB058711	ENSG00000163995	ENSG00000163995
HGNC:29132	ABLIM3	Approved		KIAA0843	5q32	AB020650	ENSG00000173210	ENSG00000173210
HGNC:79	ABO	Approved		A3GALNT, A3GALT1	9q34.2	AF134415	ENSG00000175164	ENSG00000175164
HGNC:81	ABR	Approved		MDB	17p13.3	L19704	ENSG00000159842	ENSG00000159842
HGNC:55674	ABR-AS1	Approved			17p13.3		ENSG00000235361	ENSG00000235361
HGNC:30655	ABRA	Approved		STARS	8q23.1	AF503617	ENSG00000174429	ENSG00000174429
HGNC:21230	ABRACL	Approved	C6orf115	PRO2013, HSPC280, Costars	6q24.1	BC014953	ENSG00000146386	ENSG00000146386
HGNC:25829	ABRAXAS1	Approved	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	4q21.23	AK023676	ENSG00000163322	ENSG00000163322
HGNC:56461	ABRAXAS1P1	Approved			3q12.2		ENSG00000213431	ENSG00000213431
HGNC:56462	ABRAXAS1P2	Approved			8p22		ENSG00000253384	ENSG00000253384
HGNC:28975	ABRAXAS2	Approved	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	10q26.13	D63877	ENSG00000165660	ENSG00000165660
HGNC:17369	ABT1	Approved		Esf2	6p22.2	AB027258	ENSG00000146109	ENSG00000146109
HGNC:39557	ABT1P1	Approved			4q23		ENSG00000250496	ENSG00000250496
HGNC:18275	ABTB1	Approved		BPOZ, EF1ABP, Btb3, BTBD21, BPOZ-2	3q21.3	AB053324	ENSG00000114626	ENSG00000114626
HGNC:23842	ABTB2	Approved		DKFZP586C1619, BTBD22, ABTB2A	11p13	AK056863	ENSG00000166016	ENSG00000166016
HGNC:23844	ABTB3	Approved	BTBD11	FLJ33957, ABTB2B	12q23.3	AK091276	ENSG00000151136	ENSG00000151136
HGNC:82	ACAA1	Approved		Lnc-Myd88	3p22.2	X14813	ENSG00000060971	ENSG00000060971
HGNC:83	ACAA2	Approved		DSAEC	18q21.1	D16294	ENSG00000167315	ENSG00000167315
HGNC:55880	ACAA2P1	Approved			Xp11.23		ENSG00000233585	ENSG00000233585
HGNC:84	ACACA	Approved	ACAC, ACC	ACC1, ACC-alpha, ACCA, ACCalpha, ACACalpha, Acac1, hACC1	17q12	U19822	ENSG00000278540	ENSG00000278540
HGNC:85	ACACB	Approved		HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta	12q24.11	U89344	ENSG00000076555	ENSG00000076555
HGNC:86	ACAD	Entry Withdrawn						
HGNC:87	ACAD8	Approved			11q25	AF126245	ENSG00000151498	ENSG00000151498
HGNC:21497	ACAD9	Approved		NPD002, MGC14452	3q21.3	AF078854	ENSG00000177646	ENSG00000177646
HGNC:56086	ACAD9-DT	Approved			3q21.3		ENSG00000287110	ENSG00000287110
HGNC:21597	ACAD10	Approved		MGC5601	12q24.12	AY323912	ENSG00000111271	ENSG00000111271
HGNC:30211	ACAD11	Approved		FLJ12592	3q22.1	BC019607	ENSG00000240303	ENSG00000240303
HGNC:88	ACADL	Approved		LCAD, ACAD4	2q34	M74096	ENSG00000115361	ENSG00000115361
HGNC:89	ACADM	Approved		MCAD, MCADH, ACAD1	1p31.1	M16827	ENSG00000117054	ENSG00000117054
HGNC:90	ACADS	Approved		SCAD, ACAD3	12q24.31	M26393	ENSG00000122971	ENSG00000122971
HGNC:91	ACADSB	Approved		SBCAD, ACAD7	10q26.13	U12778	ENSG00000196177	ENSG00000196177
HGNC:92	ACADVL	Approved		VLCAD, LCACD, ACAD6	17p13.1	BC012912	ENSG00000072778	ENSG00000072778
HGNC:319	ACAN	Approved	MSK16, CSPG1, AGC1	CSPGCP	15q26.1	M55172	ENSG00000157766	ENSG00000157766
HGNC:16467	ACAP1	Approved	CENTB1	KIAA0050	17p13.1	D30758	ENSG00000072818	ENSG00000072818
HGNC:16469	ACAP2	Approved	CENTB2	KIAA0041, CNT-B2	3q29		ENSG00000114331	ENSG00000114331
HGNC:41426	ACAP2-IT1	Approved			3q29		ENSG00000229325	ENSG00000229325
HGNC:16754	ACAP3	Approved	CENTB5	KIAA1716	1p36.33	AF411981	ENSG00000131584	ENSG00000131584
HGNC:93	ACAT1	Approved	ACAT	THIL	11q22.3	D90228	ENSG00000075239	ENSG00000075239
HGNC:94	ACAT2	Approved			6q25.3	AF356877	ENSG00000120437	ENSG00000120437
HGNC:15453	ACBD3	Approved	GOLPH1, GOCAP1	GCP60, PAP7	1q42.12	AB043587	ENSG00000182827	ENSG00000182827
HGNC:40701	ACBD3-AS1	Approved		RP11-275I14.4	1q42.12	AW511419	ENSG00000234478	ENSG00000234478
HGNC:23337	ACBD4	Approved		FLJ13322	17q21.31	BC029164	ENSG00000181513	ENSG00000181513
HGNC:23338	ACBD5	Approved		DKFZp434A2417, KIAA1996	10p12.1	AF505653	ENSG00000107897	ENSG00000107897
HGNC:23339	ACBD6	Approved		MGC2404	1q25.2-q25.3	BC006505	ENSG00000230124	ENSG00000230124
HGNC:17715	ACBD7	Approved		FLJ38219, bA455B2.2	10p13	AK095538	ENSG00000176244	ENSG00000176244
HGNC:96	ACBP	Symbol Withdrawn						
HGNC:97	ACC	Symbol Withdrawn						
HGNC:98	ACCN	Symbol Withdrawn						
HGNC:14594	ACCPN	Symbol Withdrawn			15q13-q15			
HGNC:23989	ACCS	Approved		PHACS, ACS	11p11.2	AY026508	ENSG00000110455	ENSG00000110455
HGNC:34391	ACCSL	Approved			11p11.2		ENSG00000205126	ENSG00000205126
HGNC:56899	ACCSLP1	Approved			6p24.3		ENSG00000230570	
HGNC:25070	ACD	Approved		Ptop, Pip1, Tpp1, Tint1	16q22.1	AF070535	ENSG00000102977	ENSG00000102977
HGNC:2707	ACE	Approved	DCP1	ACE1, CD143	17q23.3	J04144	ENSG00000159640	ENSG00000159640
HGNC:13557	ACE2	Approved		ACEH	Xp22.2	AF291820	ENSG00000130234	ENSG00000130234
HGNC:56255	ACE2-DT	Approved		GS1-594A7.3	Xp22.2		ENSG00000225833	ENSG00000225833
HGNC:44365	ACE3P	Approved			17q23.3		ENSG00000224353	ENSG00000224353
HGNC:18356	ACER1	Approved	ASAH3		19p13.3	AF347024	ENSG00000167769	ENSG00000167769
HGNC:23675	ACER2	Approved	ASAH3L	FLJ41587, ALKCDase2	9p22.1	AK123581	ENSG00000177076	ENSG00000177076
HGNC:54674	ACER2P1	Approved			2q33.3		ENSG00000180105	ENSG00000180105
HGNC:16066	ACER3	Approved	PHCA	FLJ11238, APHC	11q13.5	AF214454	ENSG00000078124	ENSG00000078124
HGNC:106	ACH	Symbol Withdrawn						
HGNC:107	ACHAP	Symbol Withdrawn			reserved			
HGNC:108	ACHE	Approved	YT		7q22.1		ENSG00000087085	ENSG00000087085
HGNC:109	ACHM1	Symbol Withdrawn	RMCH		14			
HGNC:110	ACHM2	Symbol Withdrawn						
HGNC:111	ACHM3	Symbol Withdrawn			8q22.1-q22.2			
HGNC:112	ACHRD	Symbol Withdrawn						
HGNC:113	ACHRG	Symbol Withdrawn						
HGNC:17066	ACIN1	Approved	ACINUS	KIAA0670, fSAP152	14q11.2	AB014570	ENSG00000100813	ENSG00000100813
HGNC:4035	ACKR1	Approved	FY, DARC	CCBP1, GPD, Dfy, CD234	1q23.2	U01839	ENSG00000213088	ENSG00000213088
HGNC:1565	ACKR2	Approved	CMKBR9, CCBP2	CCR10, D6, CCR9	3p22.1	U94888	ENSG00000144648	ENSG00000144648
HGNC:23692	ACKR3	Approved	CMKOR1, CXCR7	RDC1, GPR159	2q37.3	BC008459	ENSG00000144476	ENSG00000144476
HGNC:1611	ACKR4	Approved	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	3q22.1	AF110640	ENSG00000129048	ENSG00000129048
HGNC:21142	ACKR4P1	Approved	CCRL1P, CCRL1P1	dJ509I19.4	6q24.1		ENSG00000225415	ENSG00000225415
HGNC:114	ACLS	Entry Withdrawn			12p13.3-p11.2			
HGNC:115	ACLY	Approved		ATPCL, CLATP, ACL	17q21.2	X64330	ENSG00000131473	ENSG00000131473
HGNC:116	ACMG	Entry Withdrawn						
HGNC:19288	ACMSD	Approved			2q21.3	AB071418	ENSG00000153086	ENSG00000153086
HGNC:34504	ACNATP	Approved	BAATP1		9q31.1		ENSG00000227411	ENSG00000227411
HGNC:117	ACO1	Approved	IREB1	IRP1, IREBP	9p21.1	M58510	ENSG00000122729	ENSG00000122729
HGNC:118	ACO2	Approved		ACONM	22q13.2	AH006514	ENSG00000100412	ENSG00000100412
HGNC:56989	ACO2P1	Approved			22q12.3		ENSG00000235485	
HGNC:56990	ACO2P2	Approved			1q42.3		ENSG00000235371	
HGNC:33904	ACOD1	Approved	IRG1	CAD	13q22.3		ENSG00000102794	ENSG00000102794
HGNC:33128	ACOT1	Approved		ACH2, CTE-1, LACH2	14q24.3	DQ082754	ENSG00000184227	ENSG00000184227
